# بيانات المنازل - Houses Seed Data
# Format: name|description|defense|price|currency|type|rarity|imageUrl

# المنازل الأساسية (مال عادي) - Basic Houses (Money)
رجل مغطى بالكرتون بجانب القمامة|مأوى بسيط من الكرتون|5|5000|money|cardboard_shelter|common|/public/houses/man-covered-with-cartoon-beside-trash.png
منزل صغير|منزل صغير وبسيط، مناسب للمبتدئين|10|15000|money|small_house|common|/public/houses/small-house.png
كوخ خشبي|كوخ خشبي بسيط في الغابة|15|25000|money|wooden_hut|common|/public/houses/wooden-hut.png
منزل قديم|منزل قديم مع تاريخ طويل|20|35000|money|old_house|uncommon|/public/houses/old-house.png
منزل عربي|منزل عربي تقليدي مع تصميم جميل|25|45000|money|arabic_house|uncommon|/public/houses/arabic-house.png
شقة صغيرة|شقة صغيرة في المدينة|30|55000|money|small_apartment|rare|/public/houses/small-apartemnt.png
استوديو أنيق|استوديو أنيق مع تصميم عصري|35|65000|money|fancy_studio|rare|/public/houses/fancy-studio-apartment.png
شقة جميلة|شقة جميلة مع إطلالة رائعة|40|75000|money|good_looking_apartment|epic|/public/houses/good-looking-apartment.png
غرفة على السطح|غرفة فريدة على سطح المبنى|45|85000|money|rooftop_room|epic|/public/houses/room-on-rooftop.png
فيلا|فيلا فاخرة مع حديقة خاصة|50|95000|money|villa|epic|/public/houses/villa.png

# المنازل المتطورة (عملة سوداء) - Advanced Houses (Blackcoin)
غرفة تحت الأرض|غرفة مخفية تحت الأرض|55|100000|blackcoin|underground_room|epic|/public/houses/underground-room.png
بنتهاوس رائع في وسط المدينة|بنتهاوس فاخر في قلب المدينة|60|120000|blackcoin|downtown_penthouse|legend|/public/houses/cool-penthouse-in-downtown.png
مصنع قديم|مصنع قديم تم تحويله إلى منزل|65|130000|blackcoin|old_factory|epic|/public/houses/old-factory.png
قصر على الجبل|قصر أسطوري على قمة الجبل|75|150000|blackcoin|mountain_castle|legend|/public/houses/castle-on-a-mountain.png
مخبأ في قاعدة نووية|مخبأ محصن في قاعدة نووية|80|180000|blackcoin|nuclear_bunker|legend|/public/houses/bunker-in-a-nucler-base.png

# House Stats Explanation:
# - defense: Defense bonus provided by the house
# - price: Cost in money or blackcoins
# - currency: money or blackcoin
# - type: house category (apartment, villa, castle, etc.)
# - rarity: common, uncommon, rare, epic, legend
# - imageUrl: Path to house image in public folder

# Rarity Distribution:
# Common: 3 houses (cardboard shelter, small house, wooden hut)
# Uncommon: 2 houses (old house, arabic house)
# Rare: 2 houses (small apartment, fancy studio)
# Epic: 5 houses (beautiful apartment, rooftop room, villa, underground room, old factory)
# Legendary: 3 houses (downtown penthouse, mountain castle, nuclear bunker)

# Currency Distribution:
# Money houses: 10 houses (common to epic)
# Blackcoin houses: 5 houses (epic to legendary) 
